id,title,rating,year,genres,overview,cast,director,poster_url,poster_local
5,Four Rooms,5.898,1995,comedy,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Tim Roth | Jennifer Beals | David Proval | Ione Skye | Madonna,Allison Anders | Alexandre Rockwell | Quentin Tarantino | Robert Rodriguez,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,posters\90c62e0d671882e3b4a8070109a9b9b1.jpg
11,Star Wars,8.203,1977,"adventure, action, science fiction",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,Mark Hamill | Harrison Ford | Carrie Fisher | Peter Cushing | Alec Guinness,George Lucas,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,posters\0dd0e70356dd519fd0dfcc9780e11f54.jpg
12,Finding Nemo,7.818,2003,"animation, family, adventure","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Albert Brooks | Ellen DeGeneres | Alexander Gould | Willem Dafoe | Geoffrey Rush,Andrew Stanton,https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,posters\e3671f40bac65417c5d9d63741f366b5.jpg
13,Forrest Gump,8.464,1994,"comedy, drama, romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Tom Hanks | Robin Wright | Gary Sinise | Sally Field | Mykelti Williamson,Robert Zemeckis,https://image.tmdb.org/t/p/w500/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,posters\4ad431c478cc8213fe514b1b8e9e41f3.jpg
14,American Beauty,8.0,1999,drama,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Kevin Spacey | Annette Bening | Thora Birch | Wes Bentley | Mena Suvari,Sam Mendes,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg,posters\985897d826bd9901207284642155587f.jpg
15,Citizen Kane,7.977,1941,"mystery, drama","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",Orson Welles | Joseph Cotten | Dorothy Comingore | Ray Collins | George Coulouris,Orson Welles,https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,posters\7a078e4bf68e1378ba6d2b31656d48a9.jpg
16,Dancer in the Dark,7.849,2000,"drama, crime","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.",Björk | Catherine Deneuve | David Morse | Peter Stormare | Joel Grey,Lars von Trier,https://image.tmdb.org/t/p/w500/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,posters\6e28df16962c1057131ecd849c033c88.jpg
18,The Fifth Element,7.566,1997,"science fiction, action, adventure","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",Bruce Willis | Milla Jovovich | Gary Oldman | Ian Holm | Chris Tucker,Luc Besson,https://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,posters\4e5947add0d0638b2432c4f9bcf1f14c.jpg
19,Metropolis,8.09,1927,"drama, science fiction","In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",Gustav Fröhlich | Brigitte Helm | Alfred Abel | Rudolf Klein-Rogge | Theodor Loos,Fritz Lang,https://image.tmdb.org/t/p/w500/kr9wXRN23zLuWJIelahas1mtnYj.jpg,posters\39ed1b4050bf1b3d7878e9423bf8bf5f.jpg
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.821,2003,"adventure, fantasy, action","When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",Johnny Depp | Geoffrey Rush | Orlando Bloom | Keira Knightley | Jack Davenport,Gore Verbinski,https://image.tmdb.org/t/p/w500/kvDwL2gTf6yxujbsWbsGQB3Z9Wa.jpg,posters\dc2c1fce1124f2bbca5bd46c3b062a0d.jpg
24,Kill Bill: Vol. 1,7.97,2003,"action, crime","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",Uma Thurman | Lucy Liu | Vivica A. Fox | Daryl Hannah | David Carradine,Quentin Tarantino,https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,posters\e406bcb3458079bbda4d6a61aa37f3f0.jpg
25,Jarhead,6.682,2005,"drama, war","Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",Jake Gyllenhaal | Jamie Foxx | Peter Sarsgaard | Scott MacDonald | Chris Cooper,Sam Mendes,https://image.tmdb.org/t/p/w500/6vdj47RAWOUZBkeQmqToeZ7eaio.jpg,posters\21b24810a3145c1bc1743454aa458cfa.jpg
27,9 Songs,5.546,2004,"drama, music, romance","Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",Kieran O'Brien | Margo Stilley | Courtney Taylor-Taylor | Alex Kapranos | Guy Garvey,Michael Winterbottom,https://image.tmdb.org/t/p/w500/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,posters\e60c719eec180167aaec19985c075994.jpg
28,Apocalypse Now,8.268,1979,"drama, war","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Martin Sheen | Marlon Brando | Frederic Forrest | Albert Hall | Laurence Fishburne,Francis Ford Coppola,https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,posters\c3debfe884bdf05b189ef13a86d6c8fa.jpg
33,Unforgiven,7.906,1992,western,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Clint Eastwood | Gene Hackman | Morgan Freeman | Jaimz Woolvett | Richard Harris,Clint Eastwood,https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg,posters\0a6d8ab21b4a0c0b22a95d252041b1f5.jpg
35,The Simpsons Movie,7.021,2007,"animation, comedy, family","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",Dan Castellaneta | Julie Kavner | Nancy Cartwright | Yeardley Smith | Hank Azaria,David Silverman,https://image.tmdb.org/t/p/w500/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,posters\2a93084372677c390d897951ef69caae.jpg
1277988,Caramelo,7.723,2025,"comedy, drama","After a life-changing diagnosis, a promising chef finds hope and humor with the help of a fur-midable dog friend.",Rafael Vitti | Amendoim | Kelzy Ecard | Arianne Botelho | Bruno Vinicius,Diego Freitas,https://image.tmdb.org/t/p/w500/c4ZEAah5a01cu27w7vT2IAoFogk.jpg,posters\d11d92cd6e1ad0bf8f06c21de5b54ae2.jpg
38,Eternal Sunshine of the Spotless Mind,8.1,2004,"science fiction, drama, romance","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Jim Carrey | Kate Winslet | Kirsten Dunst | Mark Ruffalo | Elijah Wood,Michel Gondry,https://image.tmdb.org/t/p/w500/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,posters\0da3a3de847172b5d7fc51f06e0fb49e.jpg
